,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,9,0.12855454545454545,0.03501380758733739,0.015712121212121212,0.00282647200327681,0.021236363636363637,0.012385911306725544,0.002063636363636364,0.0010176676190781105,0.7142859124242426,0.011744302632794896,0.6549935681818182,0.009952501575448625
1,sl,9,0.126903125,0.035453239312288165,0.015284375000000001,0.0030319248604434444,0.021875,0.010668499191545172,0.001696875,0.0007152291481581269,0.7138242428125,0.011952689878922724,0.65240529265625,0.009947935099159396
2,gs,9,0.02438387096774193,0.00412561602627461,0.0152741935483871,0.002369152256430963,0.0030129032258064516,0.0012973277585927934,0.0017451612903225805,0.001015314573746901,0.578863545483871,0.008337218574678253,0.5850228411290322,0.007417126006279659
