,epochs,epsilon,clipping_mode,explanation_type,tpr_01_mean,tpr01_sd,tpr_001_mean,tpr_001_sd
0,9,0.0,nonDP,ixg,0.01529090909090909,0.003980738749495567,0.0024666666666666665,0.0011833866825362032
1,9,0.0,nonDP,sl,0.01750606060606061,0.004665342196935689,0.003187878787878788,0.0015841559411603652
2,15,0.0,nonDP,ixg,0.017578787878787878,0.004794868315931711,0.0037424242424242424,0.002066182294610962
3,15,0.0,nonDP,sl,0.019978787878787874,0.0046390148886183554,0.005024242424242424,0.002863779056890568
4,30,0.0,nonDP,ixg,0.022209090909090907,0.0047547337583662514,0.006715151515151514,0.0029042415389283825
5,30,0.0,nonDP,sl,0.02457878787878788,0.005540580736204332,0.008575757575757577,0.003700207226222345
6,50,0.0,nonDP,ixg,0.026748484848484848,0.003995916188956466,0.00930909090909091,0.0020405530498644954
7,50,0.0,nonDP,sl,0.02960909090909091,0.0048454517027679425,0.012081818181818183,0.0023046007404760494
