,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,9,0.129769696969697,0.036711582557110864,0.015712121212121212,0.0032196139026717655,0.021509090909090908,0.013013847255353619,0.0019606060606060603,0.0009243964104212178,0.7162072696969697,0.011474572738415092,0.6548668886363637,0.009895507711829154
1,sl,9,0.128075,0.03538096239505081,0.015209375,0.0031562793934274895,0.02054375,0.011235071692583897,0.00189375,0.0009099922733188453,0.7156395421874999,0.011336088355017114,0.65210774734375,0.009814456639176218
2,gs,9,0.027283870967741933,0.0050374786815649795,0.01511290322580645,0.002356561455566258,0.003338709677419355,0.001160833243381066,0.0017774193548387093,0.000872781862197095,0.58598885,0.008640864626889245,0.5878715256451613,0.0073022060506407315
