,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,5,0.04945757575757576,0.016643936566391945,0.01147878787878788,0.0019441844244352728,0.009093939393939394,0.004909850296671054,0.0014090909090909093,0.000738287796542389,0.5683716766666667,0.02218707300369875,0.538166003939394,0.008721534645630313
1,ixg,10,0.1198030303030303,0.014349859778609282,0.011830303030303031,0.002080862998196552,0.04605454545454545,0.013721650464140788,0.0012636363636363635,0.0005855938098996927,0.6195714181818183,0.00889152832670905,0.5536149010606061,0.004414232377977959
2,ixg,30,0.15604545454545457,0.017703639257938088,0.011581818181818183,0.002641906399077682,0.0933060606060606,0.021602201618913887,0.0013333333333333335,0.0006686334624222056,0.6385039675757576,0.00821006064944269,0.559108183939394,0.005258715420913424
3,sl,5,0.04969090909090909,0.016167838701089975,0.01106060606060606,0.0020655822268118122,0.010424242424242424,0.0048884545679020695,0.0012606060606060606,0.0006084951103806903,0.5681393318181819,0.02230807302703358,0.5381379533333334,0.008790820811180771
4,sl,10,0.12006969696969698,0.014065226513564209,0.010796969696969697,0.0017826580168788216,0.04803030303030303,0.014540382322689827,0.0012393939393939395,0.0007409819013613539,0.6204233690909091,0.009285813653627073,0.5541162783333334,0.004105795598924346
5,sl,30,0.1553,0.01902671168583152,0.010881818181818182,0.0020540358713716624,0.09332727272727272,0.02199837835245455,0.0011818181818181819,0.0005440892002707274,0.638712086060606,0.00872747340127713,0.5597216274242425,0.005038334724235289
6,ig,5,0.027854545454545455,0.009635480233950095,0.010933333333333333,0.0016076835710569619,0.004933333333333333,0.0023878057210786983,0.0013272727272727273,0.0007476317061522184,0.5338266390909091,0.014696912077439204,0.5284759036363637,0.00762327409888668
7,ig,10,0.06183030303030303,0.009066939106261688,0.01119090909090909,0.001841995564164638,0.017312121212121213,0.005441410110008951,0.0014727272727272727,0.0008151120864633419,0.574400353030303,0.009555212366607072,0.5407067381818182,0.004596006548691456
8,ig,30,0.08027878787878787,0.012375752381799283,0.011009090909090908,0.0017261559388041601,0.02578787878787879,0.00746315221304005,0.0011333333333333334,0.0005595813731096784,0.589722219090909,0.009143024287371026,0.5449950375757576,0.0046671832346599626
9,gs,5,0.015196969696969695,0.004077617014168109,0.011251515151515151,0.002519153442716868,0.0017727272727272728,0.0009212220892602645,0.0013363636363636366,0.0006409359547346563,0.5187481172727272,0.008640163106714237,0.5256974868181818,0.007006650996314657
10,gs,10,0.02654545454545455,0.004863724156670104,0.011596969696969696,0.002500846504987055,0.004784848484848485,0.0015719359251574903,0.0013848484848484849,0.0006751526032307211,0.5443231700000001,0.005404670408358106,0.5365191240909091,0.004606449615888947
11,gs,30,0.033330303030303036,0.005443455055245305,0.01153939393939394,0.0022836625810757796,0.005927272727272728,0.0022223755686301265,0.001512121212121212,0.0007027036858848162,0.5543864227272727,0.0059458457012592884,0.5414218763636365,0.004676405307739905
