,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,50,0.06505454545454545,0.02926924221678627,0.010778787878787877,0.0019013165416016944,0.014690909090909091,0.013640989114504806,0.0011575757575757574,0.0006115208577083082,0.6026458418181819,0.017598953937420753,0.5444542487878787,0.008089449608182616
1,sl,50,0.07726060606060606,0.029481169535967328,0.010399999999999998,0.0019693099852948035,0.017145454545454544,0.015096037828739094,0.001412121212121212,0.0007470173320603282,0.6052414784848485,0.017468115785223053,0.5458132833333332,0.007969900100577259
2,ig,50,0.032230303030303026,0.007932651543729451,0.010506060606060604,0.0024676008952310515,0.005663636363636364,0.0030898483028192923,0.0012757575757575757,0.0008517469758839512,0.5539952496969697,0.008690510920799206,0.5235964463636364,0.004996058278002656
3,gs,50,0.017406060606060605,0.003958492167322193,0.010296969696969697,0.0024643500401310375,0.0028666666666666667,0.0013164844522938024,0.001281818181818182,0.0007021415489920367,0.5315288451515151,0.0065291587317640384,0.5234636771212121,0.005302049381672094
