,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,7,0.12919393939393936,0.01609131027291927,0.0151,0.0029812545660977676,0.02039393939393939,0.007690487606952536,0.001890909090909091,0.0012395902637720932,0.6689912748484849,0.010814963133057605,0.6504381101515151,0.006518691592760607
1,ixg,9,0.12082121212121212,0.027056828607365236,0.01584242424242424,0.002734408174073982,0.019975757575757577,0.011182454609465027,0.002060606060606061,0.0010129283662306946,0.6707734024242424,0.011589366587972712,0.6549924406060605,0.009952346562336655
2,ixg,30,0.21568181818181817,0.06378942847034297,0.01793030303030303,0.002951885360392559,0.051590909090909104,0.05017170736964883,0.0021303030303030305,0.0010754801178683925,0.7250937121212122,0.033076858838325916,0.7070582565151515,0.026071937907574023
3,ixg,50,0.23514545454545452,0.06677392927523432,0.01809393939393939,0.00278371230161184,0.06520909090909091,0.07046349307797133,0.0016666666666666668,0.0008372634597365999,0.7444924715151515,0.016900486548825835,0.7299572728787879,0.013445772649301193
4,gs,7,0.020306060606060605,0.0041656560757918374,0.014890909090909092,0.0024897807663452638,0.0024666666666666665,0.0010411726101086237,0.001803030303030303,0.0007937196087180563,0.5542267957575758,0.007990812376163925,0.5832007377272727,0.006885769244522958
5,gs,9,0.02003030303030303,0.0035582158321513656,0.015154545454545457,0.0018393165577053436,0.0027,0.0010898985218261322,0.0018515151515151513,0.0010337109414031043,0.5572227857575758,0.007995137626004806,0.5846881201515152,0.006482771263948614
6,gs,30,0.028630303030303034,0.005789671307385815,0.017569696969696968,0.003558556470058734,0.003721212121212121,0.0017445599559353289,0.0019969696969696967,0.0011574488269295166,0.5871573412121212,0.016979907879856787,0.6147315257575758,0.018524660694096102
7,gs,50,0.028433333333333335,0.006743916076020226,0.01866363636363637,0.003362702573086315,0.0033333333333333335,0.0016001262576447021,0.0019363636363636362,0.0012484701381893014,0.5914325884848485,0.016371759764071767,0.6224400196969696,0.013077126216690847
8,sl,7,0.12283939393939394,0.014273368704624185,0.015551515151515151,0.0029033023216645136,0.02116969696969697,0.0064357658228337096,0.0018666666666666666,0.0008426749136535453,0.6657614566666668,0.01005097114871468,0.6473111995454545,0.00665528163978879
9,sl,9,0.11762727272727272,0.025679460873308878,0.015606060606060606,0.0029445315925215013,0.020906060606060605,0.01094661811325941,0.0018212121212121213,0.0009638174024718695,0.6678005618181818,0.011154907545207343,0.652192485909091,0.00983469286186595
10,sl,30,0.20715454545454545,0.06472141274120669,0.01688484848484848,0.00279849756358779,0.047012121212121206,0.04238671002106144,0.001927272727272727,0.0007524798305049807,0.7201186345454546,0.030955324383535335,0.7037721853030303,0.02593018198687585
11,sl,50,0.22512727272727273,0.06601923628177359,0.017784848484848487,0.002955848974298474,0.06183030303030303,0.067461573730615,0.001809090909090909,0.0008324347772661855,0.7388322996969696,0.016334393326595583,0.7265034515151516,0.013875872722338227
