,epochs,epsilon,clipping_mode,test_acc,test_sd,train_acc,train_sd
0,9,0.0,nonDP,99.54606060606062,0.375022741887697,99.81718750000002,0.3346755366676049
1,15,0.0,nonDP,99.6239393939394,0.39903625865433023,99.7028125,0.6250661683723976
2,30,0.0,nonDP,99.81393939393939,0.2272622219794277,99.97545454545454,0.05063780532195106
3,50,0.0,nonDP,99.90303030303029,0.03777804785729707,100.0,0.0
