,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,9,0.014763636363636362,0.003593328682333937,0.011136363636363637,0.002187820027751186,0.002318181818181818,0.0012738523166042077,0.0012454545454545455,0.0007274242266447014,0.5081410784848486,0.005636752140511263,0.5088558836363636,0.004692626851633655
1,ixg,15,0.016275757575757575,0.003491550866933203,0.01126060606060606,0.0021233106502674135,0.0033515151515151513,0.0018726292021001676,0.0012757575757575757,0.0005548848108857358,0.5112074772727273,0.004868612074589432,0.509377076060606,0.005288363545832547
2,ixg,30,0.02154848484848485,0.004733511811324891,0.010454545454545456,0.001961769595264332,0.005978787878787879,0.0023496947030260834,0.0013333333333333333,0.0007465746696571868,0.5165037260606061,0.00480405074304752,0.5092654798484849,0.005674076098299448
3,ixg,50,0.02721212121212121,0.004142737901272654,0.01056060606060606,0.0020848572938503116,0.009224242424242425,0.002087339948940423,0.001227272727272727,0.0006340216645150071,0.5183275378787879,0.00516282282361156,0.5106085633333334,0.004772746504845629
4,sl,9,0.01493939393939394,0.0041671834390279395,0.011093939393939396,0.0022616619517968847,0.0022999999999999995,0.0010907323089085468,0.0011060606060606063,0.0008456445968642461,0.5090365469696969,0.005843739117231672,0.50885858,0.004445427524047653
5,sl,15,0.01797878787878788,0.004523122920616307,0.01103939393939394,0.0018085553239984861,0.003836363636363636,0.002094844780800569,0.001215151515151515,0.0007131327438678526,0.5116209509090909,0.004727711665007795,0.5095683393939394,0.004644445413682233
6,sl,30,0.02332424242424242,0.004951402023855116,0.010021212121212123,0.0019170301487895875,0.0076212121212121215,0.0030511555263397637,0.0013575757575757575,0.0006546015688628919,0.5164127090909092,0.005423277908849439,0.5092394209090909,0.004803424039435452
7,sl,50,0.029175757575757577,0.00442746458008386,0.01040909090909091,0.002156085627742966,0.011212121212121211,0.0021499482130137356,0.001293939393939394,0.0006678501891253637,0.5187069315151515,0.005176133739152684,0.5105899745454545,0.004269006419924493
8,ig,9,0.013190000000000002,0.0030323093509732803,0.010776666666666665,0.0022769399543149035,0.002043333333333333,0.001155186372649693,0.001173333333333333,0.000680653280965345,0.5060094343333333,0.004468807595504414,0.5054321666666667,0.004916647548431976
9,ig,15,0.01476774193548387,0.002995522152423642,0.010787096774193549,0.002601580404972712,0.002651612903225807,0.0013614202659277068,0.001370967741935484,0.0008378904187291598,0.5061215041935485,0.0038215614152981065,0.5059426629032258,0.0051116848916254965
10,ig,30,0.014554838709677423,0.002724185431336864,0.010603225806451613,0.0023565261298412014,0.0027677419354838703,0.0010368647209408456,0.0013838709677419356,0.0005719783292722968,0.5073477470967742,0.004207038493240551,0.506186798064516,0.004553821186147876
11,ig,50,0.01720645161290323,0.002825909557700644,0.010777419354838709,0.0025571796053110818,0.0034322580645161295,0.0011072742169251578,0.0013096774193548386,0.0008949156884813867,0.507938775483871,0.004312931224810731,0.5065000016129033,0.004802814963177662
12,gs,9,0.010884375,0.002384993366736059,0.010546875,0.001801038654325609,0.00125,0.0005921359641163506,0.0010812500000000002,0.0005046270281108613,0.49999724343750007,0.0040873493994653945,0.5048918521875,0.004584572293744557
13,gs,15,0.011663636363636362,0.002238616751183124,0.011369696969696969,0.002214208230946407,0.0013757575757575758,0.0006527472493496368,0.0012909090909090908,0.0007204222820421435,0.5035587433333334,0.004254003063881485,0.5050471418181818,0.004438594026193969
14,gs,30,0.010809090909090909,0.0022736119490286465,0.010196969696969696,0.002241277347986384,0.0015575757575757576,0.0006840300821979241,0.0010787878787878787,0.0005133122245311096,0.5019745630303031,0.0029654757447182124,0.505702501060606,0.0039632830917254985
15,gs,50,0.012309090909090908,0.0028270729735534145,0.010960606060606061,0.0021544793920741873,0.0018999999999999998,0.0011246548292024913,0.0011939393939393939,0.0007454668636577711,0.5016041306060606,0.004211506982528281,0.5057423875757574,0.0052182359195690345
