,epochs,epsilon,clipping_mode,explanation_type,tpr_01_mean,tpr01_sd,tpr_001_mean,tpr_001_sd
0,9,0.0,nonDP,ixg,0.12082121212121212,0.027056828607365236,0.019975757575757577,0.011182454609465027
1,9,0.0,nonDP,gs,0.02003030303030303,0.0035582158321513656,0.0027,0.0010898985218261322
2,9,0.0,nonDP,sl,0.11762727272727272,0.025679460873308878,0.020906060606060605,0.01094661811325941
3,9,0.5,BK-MixOpt,ixg,0.009806520666103187,0.0015389565151774029,0.0010477345892931002,0.000669151287630481
4,9,0.5,BK-MixOpt,gs,0.009735913630749132,0.0013039400575166464,0.001124300580822411,0.0005498346399922763
5,9,0.5,BK-MixOpt,sl,0.01049495005633585,0.001774576622728181,0.0010418793509027904,0.00047069113349201234
6,9,1.0,BK-MixOpt,ixg,0.011301563667557071,0.0022571060700118215,0.001424454198355367,0.0005613594526015944
7,9,1.0,BK-MixOpt,gs,0.009588704690731455,0.0020878181961619864,0.0012125482107386296,0.0007596042217348903
8,9,1.0,BK-MixOpt,sl,0.0116075601552819,0.0022491690341682026,0.001389110018577115,0.0006853816382141458
9,9,2.0,BK-MixOpt,ixg,0.011331107915830427,0.002640861313301857,0.0011890252825745868,0.0006081270356217623
10,9,2.0,BK-MixOpt,gs,0.010300734694153912,0.0018678858935374369,0.0011007529152180298,0.0005205186986578126
11,9,2.0,BK-MixOpt,sl,0.01044820756973071,0.0025460218193884593,0.0011007364287364712,0.0005984538294700012
12,9,8.0,BK-MixOpt,ixg,0.012166921887758624,0.0027874842312319435,0.0014068053675711275,0.0009206053940136198
13,9,8.0,BK-MixOpt,gs,0.010353849053388833,0.0019842598348352217,0.0007946580484365838,0.0004572558825809138
14,9,8.0,BK-MixOpt,sl,0.01229637716263654,0.002532310620397086,0.0013537369903765808,0.0007157741411067879
